Fold	Label	Score_0	Score
0	1	0.337433157	0.662566843
0	1	0.525212299	0.474787701
0	1	0.329134954	0.670865046
0	1	0.540855586	0.459144414
0	1	0.286418141	0.713581859
0	1	0.423410976	0.576589024
0	1	0.321177268	0.678822732
0	1	0.64462035	0.35537965
1	1	0.391663185	0.608336815
1	1	0.198490104	0.801509896
1	1	0.25020662	0.74979338
1	1	0.77117773	0.22882227
1	1	0.352155134	0.647844866
1	1	0.356606513	0.643393487
1	1	0.245317018	0.754682982
1	1	0.237147796	0.762852204
1	1	0.822879981	0.177120019
1	1	0.793024545	0.206975455
1	1	0.258372604	0.741627396
1	1	0.795457917	0.204542083
1	1	0.911931851	0.088068149
1	1	0.462122563	0.537877437
1	1	0.340878911	0.659121089
1	1	0.510164511	0.489835489
1	1	0.027948592	0.972051408
1	1	0.238741613	0.761258387
1	1	0.2727046	0.7272954
1	1	0.708100769	0.291899231
1	1	0.400516157	0.599483843
1	1	0.328033847	0.671966153
1	1	0.299225623	0.700774377
1	1	0.243625274	0.756374726
1	1	0.349816898	0.650183102
1	1	0.515590652	0.484409348
1	1	0.914966954	0.085033046
1	1	0.122659865	0.877340135
1	1	0.324240717	0.675759283
1	1	0.260287527	0.739712473
1	1	0.266321395	0.733678605
1	1	0.343303427	0.656696573
1	1	0.235507209	0.764492791
1	1	0.210542831	0.789457169
1	1	0.404952447	0.595047553
1	1	0.352124016	0.647875984
1	1	0.488249217	0.511750783
1	1	0.357509844	0.642490156
1	1	0.261206526	0.738793474
1	1	0.434776808	0.565223192
1	1	0.371997774	0.628002226
1	1	0.448193041	0.551806959
1	1	0.307644504	0.692355496
2	1	0.409677197	0.590322803
2	1	0.267184363	0.732815637
2	1	0.5	0.5
2	1	0.380439007	0.619560993
2	1	0.344808399	0.655191601
2	1	0.356710724	0.643289276
2	1	0.824970999	0.175029001
2	1	0.299127234	0.700872766
2	1	0.409777673	0.590222327
2	1	0.241312025	0.758687975
2	1	0.198108663	0.801891337
